StatTrak™ P250 | See Ya Later (Minimal Wear)^1311.05
★ Gut Knife | Bright Water (Field-Tested)^8660.78
AK-47 | Redline (Field-Tested)^2238.93
PP-Bizon | Rust Coat (Factory New)^840.00
Cache Pin^1058.40
Atlanta 2017 Challengers (Holo-Foil)^3835.19
AWP | Sun in Leo (Minimal Wear)^1896.91
M4A4 | 龍王 (Dragon King) (Factory New)^2031.58
StatTrak™ Desert Eagle | Conspiracy (Factory New)^2117.92
USP-S | Printstream (Minimal Wear)^4970.69
M4A1-S | Nightmare (Field-Tested)^767.68
AK-47 | Baroque Purple (Factory New)^1258.79
Tec-9 | Rust Leaf (Factory New)^1496.36
AK-47 | Nightwish (Field-Tested)^741.88
G3SG1 | Violet Murano (Factory New)^2217.28
UMP-45 | Crime Scene (Factory New)^7177.40
StatTrak™ M4A4 | Buzz Kill (Battle-Scarred)^1746.48
StatTrak™ MP7 | Skulls (Minimal Wear)^1909.27
StatTrak™ AWP | Fever Dream (Field-Tested)^1733.87
Music Kit | Dren, Gunman Taco Truck^1132.82
StatTrak™ AWP | PAW (Factory New)^1052.88
MAC-10 | Stalker (Field-Tested)^861.72
StatTrak™ Desert Eagle | Crimson Web (Field-Tested)^1171.93
StatTrak™ Desert Eagle | Printstream (Battle-Scarred)^4524.75
M4A1-S | Mecha Industries (Field-Tested)^2436.48
FAMAS | Commemoration (Factory New)^1103.39
StatTrak™ M4A1-S | Briefing (Factory New)^2676.68
AK-47 | Wasteland Rebel (Field-Tested)^2766.43
StatTrak™ AK-47 | Legion of Anubis (Field-Tested)^1387.15
FAMAS | Sundown (Field-Tested)^4719.18
USP-S | Kill Confirmed (Field-Tested)^4087.25
UMP-45 | Day Lily (Field-Tested)^4163.16
AK-47 | Orbit Mk01 (Field-Tested)^1106.13
AUG | Copperhead (Minimal Wear)^5783.39
StatTrak™ AWP | Chromatic Aberration (Field-Tested)^1231.24
USP-S | Monster Mashup (Battle-Scarred)^1803.00
M4A4 | The Battlestar (Factory New)^798.97
★ Shadow Daggers | Black Laminate (Field-Tested)^8384.77
StatTrak™ PP-Bizon | Judgement of Anubis (Field-Tested)^937.90
Antwerp 2022 Viewer Pass^1147.50
StatTrak™ USP-S | The Traitor (Battle-Scarred)^2270.30
Katowice 2019 Returning Challengers (Holo-Foil)^755.50
StatTrak™ AK-47 | Blue Laminate (Field-Tested)^2251.39
★ Hydra Gloves | Case Hardened (Battle-Scarred)^8526.94
StatTrak™ M4A1-S | Flashback (Factory New)^1096.48
M4A1-S | Dark Water (Field-Tested)^6423.60
AWP | Elite Build (Field-Tested)^1238.93
Glock-18 | Snack Attack (Factory New)^1325.07
eSports 2013 Case^3102.49
AK-47 | Rat Rod (Factory New)^781.86
StatTrak™ AUG | Stymphalian (Factory New)^1071.27
AWP | Neo-Noir (Minimal Wear)^2139.15
M4A1-S | Nightmare (Minimal Wear)^1466.06
StatTrak™ AWP | Neo-Noir (Well-Worn)^3740.19
USP-S | Monster Mashup (Factory New)^3594.47
Howl Pin^4110.12
StatTrak™ Music Kit | Knock2, dashstar*^1257.32
AK-47 | Neon Revolution (Battle-Scarred)^1419.37
M4A1-S | Mecha Industries (Factory New)^7112.85
USP-S | Blueprint (Factory New)^2357.79
StatTrak™ MP7 | Abyssal Apparition (Factory New)^1189.59
AWP | Hyper Beast (Field-Tested)^2318.48
StatTrak™ Glock-18 | Vogue (Factory New)^1526.92
StatTrak™ AK-47 | Slate (Well-Worn)^986.32
Glock-18 | Franklin (Factory New)^3520.00
CS20 Case Key^815.51
Krakow 2017 Challengers Autograph Capsule^2125.00
M4A1-S | Basilisk (Factory New)^912.85
UMP-45 | Day Lily (Factory New)^4237.78
StatTrak™ AK-47 | Blue Laminate (Factory New)^3282.14
StatTrak™ AK-47 | Ice Coaled (Field-Tested)^932.82
AK-47 | Jungle Spray (Minimal Wear)^1090.79
StatTrak™ M4A4 | In Living Color (Battle-Scarred)^1024.00
StatTrak™ USP-S | Blueprint (Field-Tested)^818.73
USP-S | Whiteout (Field-Tested)^2669.00
AWP | Hyper Beast (Minimal Wear)^4693.32
★ Broken Fang Gloves | Needle Point (Minimal Wear)^8133.01
StatTrak™ USP-S | Neo-Noir (Field-Tested)^2828.06
StatTrak™ P250 | Visions (Factory New)^1528.61
StatTrak™ Music Kit | Freaky DNA, Vici^750.41
Desert Eagle | Conspiracy (Factory New)^734.95
StatTrak™ AWP | Neo-Noir (Field-Tested)^3725.97
M4A4 | Bullet Rain (Factory New)^3858.62
Operation Broken Fang Premium Pass^1148.73
StatTrak™ USP-S | Stainless (Battle-Scarred)^1074.73
M4A4 | Asiimov (Battle-Scarred)^5713.70
USP-S | Ancient Visions (Minimal Wear)^3484.15
Desert Eagle | Kumicho Dragon (Battle-Scarred)^1372.50
StatTrak™ Galil AR | Chromatic Aberration (Minimal Wear)^782.69
SG 553 | Hypnotic (Factory New)^3625.02
P250 | Undertow (Factory New)^3953.21
Tec-9 | Decimator (Field-Tested)^905.42
Five-SeveN | Crimson Blossom (Field-Tested)^4457.30
Desert Eagle | Code Red (Battle-Scarred)^1220.39
AK-47 | Asiimov (Field-Tested)^2610.16
M4A1-S | Guardian (Field-Tested)^1561.31
AWP | Chromatic Aberration (Minimal Wear)^847.92
StatTrak™ Desert Eagle | Trigger Discipline (Factory New)^800.86
AK-47 | Blue Laminate (Factory New)^1111.57
AWP | Asiimov (Battle-Scarred)^7338.44
AK-47 | Redline (Well-Worn)^1762.07
MAC-10 | Gold Brick (Minimal Wear)^4449.27
AK-47 | Predator (Field-Tested)^1636.38
StatTrak™ USP-S | Cyrex (Factory New)^873.36
M4A4 | X-Ray (Factory New)^1602.96
Five-SeveN | Hyper Beast (Factory New)^8428.89
StatTrak™ AWP | Fever Dream (Minimal Wear)^1839.64
XM1014 | Ancient Lore (Factory New)^4003.91
StatTrak™ AK-47 | Neon Revolution (Field-Tested)^3687.60
StatTrak™ USP-S | Guardian (Minimal Wear)^779.23
StatTrak™ FAMAS | Eye of Athena (Minimal Wear)^1216.46
★ Specialist Gloves | Lt. Commander (Battle-Scarred)^9947.96
M4A1-S | Player Two (Field-Tested)^1866.80
Desert Eagle | Kumicho Dragon (Minimal Wear)^1768.37
AWP | Exoskeleton (Factory New)^779.82
MP7 | Teal Blossom (Factory New)^5470.54
AK-47 | Asiimov (Battle-Scarred)^1826.05
AWP | Corticera (Factory New)^3061.83
Autograph Capsule | Titan | Cluj-Napoca 2015^965.43
P90 | Sunset Lily (Minimal Wear)^1603.77
StatTrak™ M4A4 | Tooth Fairy (Factory New)^1172.23
USP-S | Printstream (Factory New)^9617.22
P90 | Blind Spot (Field-Tested)^713.89
StatTrak™ AWP | Neo-Noir (Factory New)^6757.46
M4A4 | Neo-Noir (Minimal Wear)^937.71
★ Hand Wraps | Desert Shamagh (Battle-Scarred)^7006.05
★ Falchion Knife | Forest DDPAT (Field-Tested)^8620.57
Glock-18 | Gamma Doppler (Minimal Wear)^4653.76
AWP | Fever Dream (Minimal Wear)^1005.85
StatTrak™ AK-47 | Redline (Field-Tested)^4893.60
AK-47 | Nightwish (Minimal Wear)^1578.45
StatTrak™ AUG | Arctic Wolf (Factory New)^1457.45
M4A4 | In Living Color (Minimal Wear)^865.72
★ Moto Gloves | POW! (Battle-Scarred)^8441.61
AK-47 | Legion of Anubis (Factory New)^1352.19
StatTrak™ M4A4 | Magnesium (Factory New)^721.15
Slingshot | Phoenix^793.96
StatTrak™ AWP | Redline (Well-Worn)^9973.76
Desert Eagle | Kumicho Dragon (Factory New)^2544.32
M4A1-S | Atomic Alloy (Field-Tested)^3221.07
StatTrak™ P250 | See Ya Later (Field-Tested)^885.50
G3SG1 | Violet Murano (Minimal Wear)^2124.79
AWP | Electric Hive (Field-Tested)^2572.98
Desert Eagle | Hypnotic (Factory New)^8253.16
Desert Eagle | Ocean Drive (Well-Worn)^1192.89
★ Hydra Gloves | Mangrove (Well-Worn)^5510.13
AK-47 | Leet Museo (Well-Worn)^1499.01
Galil AR | Cerberus (Minimal Wear)^3317.07
StatTrak™ AK-47 | Rat Rod (Well-Worn)^786.49
StatTrak™ Desert Eagle | Mecha Industries (Factory New)^1769.40
★ Broken Fang Gloves | Unhinged (Battle-Scarred)^6890.80
AK-47 | Frontside Misty (Battle-Scarred)^843.00
Cologne 2016 Legends (Holo-Foil)^1661.75
StatTrak™ AK-47 | Phantom Disruptor (Battle-Scarred)^1002.43
AK-47 | Redline (Minimal Wear)^8900.32
AK-47 | Point Disarray (Minimal Wear)^1453.37
AK-47 | Slate (Factory New)^836.31
StatTrak™ AK-47 | Slate (Minimal Wear)^1313.70
AWP | Neo-Noir (Field-Tested)^1848.15
SSG 08 | Dragonfire (Well-Worn)^952.56
★ Hand Wraps | Desert Shamagh (Well-Worn)^6955.55
AK-47 | Orbit Mk01 (Factory New)^2076.99
StatTrak™ Galil AR | Orange DDPAT (Field-Tested)^1577.62
AK-47 | Red Laminate (Field-Tested)^3800.23
AWP | Chromatic Aberration (Factory New)^1461.23
SSG 08 | Dragonfire (Battle-Scarred)^946.79
Prisma Case Key^758.79
StatTrak™ Five-SeveN | Fairy Tale (Minimal Wear)^4061.06
AWP | Corticera (Minimal Wear)^1167.29
AWP | Containment Breach (Battle-Scarred)^3972.90
AWP | Wildfire (Field-Tested)^4842.06
StatTrak™ M4A1-S | Basilisk (Minimal Wear)^1671.38
★ Driver Gloves | Convoy (Field-Tested)^6740.51
StatTrak™ SG 553 | Ultraviolet (Well-Worn)^1764.78
StatTrak™ SSG 08 | Abyss (Factory New)^880.86
StatTrak™ M4A4 | Temukau (Battle-Scarred)^1124.72
Collectible Pins Capsule Series 1^811.09
MP9 | Starlight Protector (Factory New)^1368.47
StatTrak™ AWP | Asiimov (Battle-Scarred)^9469.14
★ StatTrak™ Navaja Knife | Ultraviolet (Field-Tested)^7858.20
★ Bloodhound Gloves | Bronzed (Field-Tested)^7473.17
M4A4 | Red DDPAT (Minimal Wear)^6401.52
AK-47 | Aquamarine Revenge (Battle-Scarred)^1500.43
Glock-18 | Bullet Queen (Minimal Wear)^1032.19
AWP | Elite Build (Minimal Wear)^1745.54
StatTrak™ AK-47 | Orbit Mk01 (Field-Tested)^2963.58
StatTrak™ USP-S | The Traitor (Field-Tested)^2407.95
AUG | Torque (Factory New)^754.18
StatTrak™ AK-47 | Neon Revolution (Minimal Wear)^6003.30
Desert Eagle | Midnight Storm (Minimal Wear)^2372.45
StatTrak™ P250 | Mehndi (Field-Tested)^2222.82
USP-S | Printstream (Battle-Scarred)^1924.77
Glock-18 | Franklin (Minimal Wear)^3564.84
AK-47 | Orbit Mk01 (Minimal Wear)^1402.14
Desert Eagle | Printstream (Field-Tested)^2687.18
FAMAS | Prime Conspiracy (Factory New)^6795.75
★ StatTrak™ Shadow Daggers | Rust Coat (Battle-Scarred)^7165.78
★ StatTrak™ Falchion Knife | Ultraviolet (Field-Tested)^9939.04
SSG 08 | Dragonfire (Field-Tested)^944.60
AK-47 | Cartel (Minimal Wear)^1158.72
StatTrak™ Glock-18 | Wasteland Rebel (Battle-Scarred)^1129.35
StatTrak™ Glock-18 | Water Elemental (Field-Tested)^1175.62
M4A1-S | Guardian (Minimal Wear)^1650.53
StatTrak™ AK-47 | The Empress (Field-Tested)^6378.75
M4A4 | Global Offensive (Minimal Wear)^2040.00
★ Survival Knife | Night Stripe (Field-Tested)^8142.63
StatTrak™ M4A4 | Desert-Strike (Field-Tested)^931.39
StatTrak™ Glock-18 | Neo-Noir (Minimal Wear)^5728.44
ESL One Cologne 2014 Challengers^4916.88
USP-S | Printstream (Field-Tested)^2867.20
StatTrak™ AWP | Hyper Beast (Field-Tested)^5521.07
AWP | Sun in Leo (Factory New)^2892.55
StatTrak™ Glock-18 | Bullet Queen (Minimal Wear)^4121.85
StatTrak™ AWP | Exoskeleton (Minimal Wear)^896.24
UMP-45 | Day Lily (Minimal Wear)^5474.17
USP-S | Neo-Noir (Field-Tested)^1029.73
AK-47 | Frontside Misty (Field-Tested)^1066.98
Berlin 2019 Viewer Pass^946.39
Krakow 2017 Legends Autograph Capsule^2338.94
StatTrak™ CZ75-Auto | Hexane (Factory New)^819.32
StatTrak™ AK-47 | Slate (Field-Tested)^960.50
Five-SeveN | Berries And Cherries (Factory New)^7429.00
AK-47 | Neon Rider (Field-Tested)^4207.34
SG 553 | Integrale (Factory New)^6007.48
M4A1-S | Chantico's Fire (Well-Worn)^1780.08
AK-47 | Blue Laminate (Minimal Wear)^956.28
StatTrak™ AUG | Torque (Minimal Wear)^1096.49
StatTrak™ AK-47 | Head Shot (Well-Worn)^1425.96
USP-S | Monster Mashup (Minimal Wear)^2322.73
StatTrak™ M4A1-S | Guardian (Field-Tested)^4451.70
AK-47 | Frontside Misty (Minimal Wear)^2471.43
Desert Eagle | Code Red (Well-Worn)^1309.95
AK-47 | Ice Coaled (Minimal Wear)^747.29
USP-S | The Traitor (Battle-Scarred)^707.20
P250 | Black & Tan (Minimal Wear)^1879.67
★ Broken Fang Gloves | Jade (Battle-Scarred)^8610.19
StatTrak™ AK-47 | Elite Build (Factory New)^1881.14
StatTrak™ M4A4 | The Emperor (Minimal Wear)^7253.59
SG 553 | Tornado (Field-Tested)^796.48
StatTrak™ Five-SeveN | Angry Mob (Factory New)^3037.73
Nova | Quick Sand (Factory New)^1842.15
Desert Eagle | Cobalt Disruption (Factory New)^6629.67
StatTrak™ AWP | Chromatic Aberration (Battle-Scarred)^1389.24
StatTrak™ AWP | Atheris (Factory New)^3154.68
M4A1-S | Atomic Alloy (Battle-Scarred)^3008.99
M4A1-S | Cyrex (Field-Tested)^1810.09
★ Survival Knife | Stained (Field-Tested)^9413.14
★ Ursus Knife | Safari Mesh (Field-Tested)^8808.71
Desert Eagle | Code Red (Minimal Wear)^2659.69
MAC-10 | Gold Brick (Factory New)^4982.29
AWP | Fever Dream (Field-Tested)^967.56
M4A4 | Temukau (Minimal Wear)^3781.61
London 2018 Inferno Souvenir Package^765.26
StatTrak™ P250 | Muertos (Factory New)^2148.84
AUG | Sand Storm (Minimal Wear)^5125.91
Chroma Case Key^714.68
M4A4 | Temukau (Field-Tested)^1120.22
StatTrak™ USP-S | Black Lotus (Factory New)^2630.77
StatTrak™ AK-47 | Cartel (Field-Tested)^2843.69
Music Kit | Knock2, dashstar*^708.14
StatTrak™ M4A1-S | Hyper Beast (Field-Tested)^4543.02
StatTrak™ P250 | Cartel (Field-Tested)^1081.38
Vypa Sista of the Revolution | Guerrilla Warfare^3200.99
★ StatTrak™ Paracord Knife | Boreal Forest (Minimal Wear)^8957.09
AK-47 | The Empress (Field-Tested)^2973.13
M4A4 | In Living Color (Factory New)^2378.81
StatTrak™ Desert Eagle | Heirloom (Field-Tested)^921.24
Crasswater The Forgotten | Guerrilla Warfare^1462.97
StatTrak™ AK-47 | Head Shot (Battle-Scarred)^1402.88
P250 | Asiimov (Minimal Wear)^1313.29
P250 | Crimson Kimono (Factory New)^2005.57
AK-47 | Frontside Misty (Factory New)^5817.17
Glock-18 | Water Elemental (Factory New)^959.11
StatTrak™ Galil AR | Orange DDPAT (Battle-Scarred)^1472.37
AK-47 | Head Shot (Minimal Wear)^1692.79
Autograph Capsule | Titan | Cologne 2015^1345.52
AWP | BOOM (Minimal Wear)^8815.08
★ Gut Knife | Damascus Steel (Field-Tested)^8801.60
StatTrak™ Five-SeveN | Copper Galaxy (Minimal Wear)^1231.65
StatTrak™ M4A4 | Cyber Security (Minimal Wear)^4059.26
StatTrak™ P90 | Shallow Grave (Factory New)^1487.17
M4A4 | Neo-Noir (Factory New)^2440.59
StatTrak™ AWP | Mortis (Factory New)^1202.44
USP-S | Purple DDPAT (Field-Tested)^1462.62
Nova | Blaze Orange (Well-Worn)^1057.39
M4A1-S | Atomic Alloy (Factory New)^6610.73
P250 | Visions (Factory New)^704.38
AK-47 | Neon Revolution (Minimal Wear)^3483.64
StatTrak™ Tec-9 | Titanium Bit (Factory New)^1510.15
PP-Bizon | Rust Coat (Battle-Scarred)^1116.05
★ StatTrak™ Shadow Daggers | Forest DDPAT (Minimal Wear)^7649.15
StatTrak™ Nova | Antique (Factory New)^1724.56
StatTrak™ AK-47 | Nightwish (Factory New)^9661.65
CZ75-Auto | Victoria (Factory New)^954.08
StatTrak™ FAMAS | Mecha Industries (Factory New)^1579.29
M4A1-S | Golden Coil (Battle-Scarred)^2864.81
MAC-10 | Fade (Factory New)^3980.97
StatTrak™ P2000 | Obsidian (Factory New)^1474.52
StatTrak™ AK-47 | Cartel (Minimal Wear)^3824.99
StatTrak™ M4A4 | Desolate Space (Minimal Wear)^2014.49
StatTrak™ FAMAS | Commemoration (Battle-Scarred)^1731.36
StatTrak™ Galil AR | Chromatic Aberration (Factory New)^2285.83
★ StatTrak™ Shadow Daggers | Ultraviolet (Field-Tested)^8724.80
StatTrak™ Desert Eagle | Conspiracy (Minimal Wear)^1305.60
StatTrak™ AK-47 | The Empress (Minimal Wear)^9423.58
StatTrak™ AK-47 | Cartel (Battle-Scarred)^2808.28
StatTrak™ Desert Eagle | Ocean Drive (Well-Worn)^3688.96
StatTrak™ FAMAS | Djinn (Factory New)^2465.44
M4A1-S | Golden Coil (Well-Worn)^3400.25
StatTrak™ Tec-9 | Titanium Bit (Minimal Wear)^903.62
StatTrak™ M4A4 | Neo-Noir (Minimal Wear)^2813.22
StatTrak™ AK-47 | Head Shot (Field-Tested)^1989.85
StatTrak™ AWP | Electric Hive (Minimal Wear)^5788.09
Desert Eagle | Code Red (Field-Tested)^1583.03
StatTrak™ M4A1-S | Bright Water (Minimal Wear)^4625.95
★ Huntsman Knife | Forest DDPAT (Field-Tested)^8773.33
M4A1-S | Mecha Industries (Minimal Wear)^4529.49
P2000 | Fire Elemental (Factory New)^1881.52
StatTrak™ P2000 | Woodsman (Battle-Scarred)^883.14
StatTrak™ AWP | Duality (Minimal Wear)^1007.19
M4A1-S | Cyrex (Minimal Wear)^2411.73
StatTrak™ Five-SeveN | Fowl Play (Minimal Wear)^740.19
StatTrak™ AK-47 | Slate (Battle-Scarred)^991.59
M4A4 | The Coalition (Well-Worn)^1031.90
Five-SeveN | Case Hardened (Factory New)^1498.59
P2000 | Coach Class (Minimal Wear)^843.05
M4A4 | The Emperor (Field-Tested)^922.36
★ Shadow Daggers | Black Laminate (Factory New)^9453.95
StatTrak™ AK-47 | Neon Rider (Battle-Scarred)^5550.78
StatTrak™ M4A1-S | Decimator (Factory New)^7125.00
StatTrak™ M4A4 | Desolate Space (Well-Worn)^982.94
★ Hydra Gloves | Emerald (Field-Tested)^6200.17
StatTrak™ AK-47 | The Empress (Well-Worn)^5016.83
StatTrak™ PP-Bizon | Judgement of Anubis (Factory New)^2745.47
Glock-18 | Brass (Field-Tested)^1511.70
FAMAS | Prime Conspiracy (Minimal Wear)^6561.91
★ Huntsman Knife | Boreal Forest (Field-Tested)^8736.88
StatTrak™ AWP | Elite Build (Minimal Wear)^3287.15
StatTrak™ M4A4 | Spider Lily (Minimal Wear)^1333.84
★ Shadow Daggers | Autotronic (Well-Worn)^8585.00
SSG 08 | Blood in the Water (Minimal Wear)^3783.69
StatTrak™ Glock-18 | Water Elemental (Battle-Scarred)^1177.32
AWP | Fever Dream (Battle-Scarred)^952.20
Five-SeveN | Case Hardened (Field-Tested)^806.38
Rio 2022 Viewer Pass + 3 Souvenir Tokens^1605.33
StatTrak™ SG 553 | Ultraviolet (Minimal Wear)^2023.20
'The Doctor' Romanov | Sabre^860.89
P2000 | Woodsman (Factory New)^848.20
M4A1-S | Decimator (Field-Tested)^930.35
Dual Berettas | Emerald (Minimal Wear)^3327.32
London 2018 Returning Challengers (Holo-Foil)^1123.00
StatTrak™ FAMAS | ZX Spectron (Factory New)^1600.74
USP-S | Cortex (Factory New)^787.13
P250 | Mehndi (Minimal Wear)^1191.44
StatTrak™ USP-S | Printstream (Battle-Scarred)^4659.38
StatTrak™ AK-47 | Point Disarray (Factory New)^6469.88
StatTrak™ M4A1-S | Nightmare (Minimal Wear)^3857.06
Danger Zone Case Key^835.71
AK-47 | Cartel (Factory New)^2210.29
StatTrak™ M4A4 | Tooth Fairy (Minimal Wear)^729.06
P250 | Whiteout (Minimal Wear)^2975.00
M4A1-S | Player Two (Factory New)^8326.88
AWP | Corticera (Field-Tested)^1163.06
StatTrak™ FAMAS | Valence (Factory New)^1255.62
Five-SeveN | Case Hardened (Minimal Wear)^1019.62
AK-47 | Wasteland Rebel (Minimal Wear)^4274.88
Desert Eagle | Night (Minimal Wear)^1159.67
AUG | Carved Jade (Factory New)^1319.12
★ StatTrak™ Navaja Knife | Night Stripe (Field-Tested)^7260.67
StatTrak™ AK-47 | The Empress (Battle-Scarred)^4888.74
M4A4 | Bullet Rain (Minimal Wear)^1352.04
StatTrak™ AUG | Chameleon (Factory New)^1554.61
AWP | Electric Hive (Minimal Wear)^3264.76
StatTrak™ USP-S | Monster Mashup (Factory New)^7353.12
FAMAS | Waters of Nephthys (Field-Tested)^2429.64
StatTrak™ AK-47 | Point Disarray (Field-Tested)^1919.50
StatTrak™ CZ75-Auto | Victoria (Minimal Wear)^3609.04
StatTrak™ Desert Eagle | Mecha Industries (Field-Tested)^924.78
Desert Eagle | Night Heist (Minimal Wear)^1232.50
M4A1-S | Moss Quartz (Factory New)^5252.12
StatTrak™ CZ75-Auto | Tread Plate (Factory New)^1257.31
